"Calendar_Date","Actual_Revenue","Forecast_Revenue","Data_Stream_Type"
2024-01-01,140483.83,NA,"Actuals"
2024-02-01,127828.16,NA,"Actuals"
2024-03-01,157539.47,NA,"Actuals"
2024-04-01,169618.41,NA,"Actuals"
2024-05-01,163983.59,NA,"Actuals"
2024-06-01,164792.89,NA,"Actuals"
2024-07-01,165893.91,NA,"Actuals"
2024-08-01,153795.28,NA,"Actuals"
2024-09-01,191138.91,NA,"Actuals"
2024-10-01,203749.14,NA,"Actuals"
2024-11-01,239784.7,NA,"Actuals"
2024-12-01,275190.06,NA,"Actuals"
2025-01-01,162314.12,NA,"Actuals"
2025-02-01,215000.5,NA,"Actuals"
2025-03-01,192075.41,NA,"Actuals"
2025-04-01,207978.58,NA,"Actuals"
2025-05-01,217428.21,NA,"Actuals"
2025-06-01,191113.31,NA,"Actuals"
2025-07-01,184781.61,NA,"Actuals"
2025-08-01,192323.93,NA,"Actuals"
2025-09-01,220186.49,NA,"Actuals"
2025-10-01,238874.77,NA,"Actuals"
2025-11-01,281355.81,NA,"Actuals"
2025-12-01,323858.7,NA,"Actuals"
2026-01-01,NA,210585.61,"Forecast"
2026-02-01,NA,230600.97,"Forecast"
2026-03-01,NA,233994.07,"Forecast"
